repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,liveness,unique-contributors,new-commits-last-30d,tag
manticoresoftware/manticoresearch,11763,66,22,12,1,5.611,0,1,3224,59,C++,false,90.000,9,104,Search Engines
mantisbt/mantisbt,1762,8,2,0,0,4.540,9,2,5779,135,PHP,false,57.000,4,63,Ticketing
brufdev/many-notes,944,22,10,4,1,23.305,0,138,655,3,PHP,false,35.000,0,0,Note-taking & Editors
manyfold3d/manyfold,1912,50,21,8,1,26.151,0,0,1905,38,Ruby,false,90.000,5,400,Manufacturing
mastodon/mastodon,49880,171,87,46,10,3.428,0,1,3715,991,Ruby,false,100.000,14,229,Communication
mataroablog/mataroa,344,4,2,2,0,11.628,3,41,2159,15,Python,false,18.000,0,0,Blogging Platforms
sergree/matchering,2499,49,21,10,0,19.608,2,7,2766,3,Python,false,50.000,1,1,Automation
mathesar-foundation/mathesar,4933,47,21,6,0,9.528,1,4,1865,140,Svelte,false,70.000,5,101,Database Management
matomo-org/matomo,21454,112,52,27,4,5.220,0,1,5505,419,PHP,false,100.000,15,68,Analytics
mattermost/mattermost,36372,451,231,110,12,12.400,0,1,3968,1090,TypeScript,false,100.000,42,181,Communication
mautic/mautic,9505,158,79,42,1,16.623,0,2,4633,414,PHP,false,100.000,12,126,Communication
tanrax/maza-ad-blocking,1866,3,1,1,0,1.608,4,153,2305,6,Shell,false,12.000,0,0,DNS
mealie-recipes/mealie,12056,282,132,58,15,23.391,0,0,1966,256,Python,false,100.000,16,132,Recipe Management
medama-io/medama,611,3,1,1,0,4.910,3,97,934,1,Go,false,12.000,0,0,Analytics
mediacms-io/mediacms,4861,71,36,20,1,14.606,0,77,1957,43,JavaScript,false,50.000,0,0,Media Streaming
bluenviron/mediamtx,18582,330,149,78,10,17.759,0,0,2310,114,Go,false,100.000,4,57,Media Streaming
pymedusa/Medusa,1951,4,3,2,1,2.050,0,164,3715,292,Python,false,22.000,0,0,Media Management
medusajs/medusa,32793,399,182,101,16,12.167,0,0,2289,449,TypeScript,false,100.000,24,152,E-commerce
Arthi-chaud/Meelo,1119,26,11,7,0,23.235,0,0,1451,14,TypeScript,false,85.000,4,100,Media Streaming
aaronpk/Meetable,163,2,2,1,1,12.270,0,153,2323,7,PHP,false,22.000,0,0,Polls and Events
meilisearch/MeiliSearch,57314,621,263,120,9,10.835,0,3,2924,210,Rust,false,100.000,6,124,Search Engines
dmpop/pellicola,186,1,1,0,0,5.376,8,333,4661,10,PHP,false,5.000,0,0,Photo Galleries
neonwatty/meme-search,658,13,6,3,1,19.757,0,39,686,7,HTML,false,37.000,0,0,Search Engines
usememos/memos,59182,1156,511,259,25,19.533,0,0,1599,378,Go,false,100.000,7,83,Note-taking & Editors
cfu288/mere-medical,273,13,4,3,1,47.619,0,68,1303,2,TypeScript,false,26.000,0,0,Health and Fitness
pvcnt/mergeable,107,3,2,1,0,28.037,6,327,997,7,TypeScript,false,12.000,0,0,Software Development
Ylianst/MeshCentral,6451,142,64,31,10,22.012,0,0,3162,138,HTML,false,100.000,8,19,Remote Access
metabase/metabase,47028,506,218,110,11,10.760,0,0,4100,484,Clojure,false,100.000,58,521,Analytics
alexta69/metube,13344,365,183,107,17,27.353,0,4,2339,80,Python,false,100.000,8,40,Media Management
microweber/microweber,3406,9,3,2,1,2.642,0,254,5680,56,HTML,false,22.000,0,0,E-commerce
middlewarehq/middleware,1594,20,9,5,0,12.547,3,101,754,30,TypeScript,false,21.000,0,0,Analytics
zer0tonin/Mikochi,360,3,1,0,0,8.333,11,7,1201,6,JavaScript,false,29.000,1,2,File Transfer
mindsdb/mindsdb,39055,287,123,58,8,7.349,0,3,2823,824,Python,false,100.000,20,122,Database Management
Anuken/Mindustry,27378,402,222,98,16,14.683,0,0,3283,716,Java,false,100.000,35,199,Games
b310-digital/mindwendel,133,3,1,0,0,22.556,12,23,1922,7,Elixir,false,19.000,2,6,Software Development
miniflux/v2,9124,172,76,34,6,18.851,0,1,3079,283,Go,false,100.000,8,57,Feed Readers
mcarbonne/minimal-git-server,45,1,0,0,0,22.222,28,8,824,2,Shell,false,24.000,2,2,Software Development
svenstaro/miniserve,7569,86,38,13,5,11.362,0,15,2922,70,Rust,false,66.000,4,17,File Transfer
Accessory/minus_games,43,1,1,1,0,23.256,6,43,646,2,Rust,false,16.000,0,0,Games
miroslavpejic85/mirotalkc2c,506,4,2,0,0,7.905,8,1,1239,3,JavaScript,false,57.000,1,24,Communication
miroslavpejic85/mirotalk,4466,147,86,32,2,32.915,0,0,1940,25,JavaScript,false,100.000,2,96,Communication
miroslavpejic85/mirotalksfu,2947,40,19,11,2,13.573,0,0,1713,13,JavaScript,false,95.000,1,129,Communication
rafalp/Misago,2719,7,4,2,1,2.574,0,0,5055,41,Python,false,78.000,2,12,Communication
misskey-dev/misskey,11131,77,29,10,1,6.918,0,0,3408,305,TypeScript,false,100.000,11,54,Communication
DDVTECH/mistserver,490,4,2,0,0,8.163,8,86,4955,27,C,false,7.000,0,0,Media Streaming
inovector/MixpostApp,124,2,0,0,0,16.129,18,332,1150,1,PHP,false,4.000,0,0,Analytics
kennethsible/mkvpriority,65,4,3,1,0,61.538,4,12,347,1,Python,false,34.000,1,8,Media Management
modoboa/modoboa,3481,17,8,5,0,4.884,1,5,4758,96,Python,false,61.000,4,23,Communication
modxcms/revolution,1395,1,0,0,0,0.717,14,25,5749,185,PHP,false,14.000,2,5,Content Management Systems (CMS)
monetr/monetr,643,25,8,2,1,38.880,0,0,1696,16,Go,false,95.000,5,122,"Money, Budgeting & Management"
esl/MongooseIM,1736,6,4,4,1,3.456,0,1,5343,191,Erlang,false,72.000,8,46,Communication
monicahq/monica,24553,182,89,49,7,7.413,0,238,3355,40,PHP,false,62.000,0,0,Customer Relationship Management (CRM)
moode-player/moode,1328,28,10,8,1,21.084,0,2,3079,36,PHP,false,85.000,4,85,Media Streaming
mopidy/mopidy,8492,19,5,2,0,2.237,1,0,5967,133,Python,false,76.000,1,79,Media Streaming
mosparo/mosparo,281,3,1,1,0,10.676,2,9,1777,65,PHP,false,38.000,2,12,Miscellaneous
CatoTH/antragsgruen,140,3,3,1,0,21.429,5,0,4961,15,PHP,false,72.000,2,43,Conference Management
motioneye-project/motioneye,4580,32,19,10,2,6.987,0,135,3891,155,Python,false,35.000,0,0,Video Surveillance
leepeuker/movary,717,13,1,0,0,18.131,10,8,1917,9,PHP,false,37.000,2,18,Miscellaneous
movim/movim,1993,14,6,3,0,7.025,1,0,3958,63,PHP,false,81.000,4,63,Communication
mjl-/mox,5655,70,31,19,0,12.378,1,125,1181,16,Go,false,40.000,0,0,Communication
MusicPlayerDaemon/MPD,2663,18,8,4,1,6.759,0,4,5182,265,C++,false,71.000,3,55,Media Streaming
IrosTheBeggar/mStream,2340,14,6,3,0,5.983,1,0,3794,24,JavaScript,false,81.000,3,219,Media Streaming
multitheftauto/mtasa-blue,1736,27,9,4,2,15.553,0,0,4054,158,C++,false,95.000,13,122,Games
FoxxMD/multi-scrobbler,1018,48,19,5,2,47.151,0,3,1992,18,TypeScript,false,75.000,3,142,Media Streaming
mumble-voip/mumble,7954,103,37,16,3,12.949,0,0,5538,425,C++,false,100.000,4,18,Communication
clangen/musikcube,4759,42,18,12,2,8.825,0,34,4056,43,C++,false,41.000,0,0,Media Streaming
mybb/mybb,1210,9,4,2,0,7.438,3,4,5064,131,PHP,false,52.000,5,21,Communication
mybucks-online/app,18,1,0,0,0,55.556,24,4,606,2,JavaScript,false,38.000,1,12,"Money, Budgeting & Management"
shurco/mycart,348,2,1,0,0,5.747,9,7,1008,9,Go,false,29.000,1,4,E-commerce
bouncepaw/mycorrhiza,371,0,0,0,0,0.000,36,234,2148,14,Go,false,0.000,0,0,Wikis
afaneca/myfin,262,14,5,4,1,53.435,0,43,2317,3,TypeScript,false,32.000,0,0,"Money, Budgeting & Management"
jason5ng32/MyIP,10167,200,103,58,8,19.671,0,1,885,9,Vue,false,100.000,2,251,Network Utilities
mylar3/mylar3,1402,24,10,6,0,17.118,1,252,2294,73,Python,false,25.000,0,0,Automation
FabianRolfMatthiasNoll/MyMangaDB,17,1,1,0,0,58.824,8,10,1122,3,TypeScript,false,27.000,2,6,Document Management
gnmyt/myspeed,2874,65,26,18,2,22.617,0,1,1481,10,JavaScript,false,90.000,2,84,Network Utilities
maxpozdeev/mytinytodo,189,1,1,0,0,5.291,9,27,4470,10,PHP,false,17.000,1,5,Task Management & To-do Lists
